log_bias_diff 	 sp_diff
0.499731	-0.043110
0.183769	0.048391
0.641212	-0.033431
0.472854	0.034438
0.255443	0.030987
0.185377	-0.051311
0.581602	-0.015983
0.838180	0.016757
1.546663	-0.094981
0.365634	0.011965
nan	nan
0.689657	0.029353
0.203292	-0.094948
0.231996	-0.047781
nan	nan
nan	nan
1.510799	0.013155
0.239336	0.057893
1.117076	0.018068
0.286290	-0.023407
0.081069	0.028230
0.114121	-0.127305
1.263166	0.007555
1.434301	-0.033982
nan	nan
0.696724	0.000259
0.390645	0.085136
0.908557	0.057188
0.716504	0.003552
0.493281	0.006127
0.922510	0.051576
